lon,lat,vs30,z1pt0,z2pt5,vs30measured,backarc
150.937958,-33.4194233,1100,100,0,0,0
150.948707,-33.4196016,1100,100,0,0,0
150.9594562,-33.4197789,1100,100,0,0,0
150.9702054,-33.4199553,1100,100,0,0,0
150.9809548,-33.4201308,1100,100,0,0,0
150.9917042,-33.4203054,1100,100,0,0,0
151.0024538,-33.420479,1100,100,0,0,0
151.0132034,-33.4206517,1100,100,0,0,0
151.0239531,-33.4208235,1100,100,0,0,0
151.0347029,-33.4209943,1100,100,0,0,0
151.0454528,-33.4211642,1100,100,0,0,0
151.0562028,-33.4213332,1100,100,0,0,0
151.0669528,-33.4215013,1100,100,0,0,0
151.077703,-33.4216684,1100,100,0,0,0
151.0884533,-33.4218346,1100,100,0,0,0
151.0992036,-33.4219998,1100,100,0,0,0
151.109954,-33.4221641,1100,100,0,0,0
151.1207045,-33.4223275,1100,100,0,0,0
151.1314551,-33.42249,1100,100,0,0,0
151.1422058,-33.4226515,1100,100,0,0,0
151.1529566,-33.4228121,1100,100,0,0,0
151.1637074,-33.4229718,115,100,0,0,0
151.1744584,-33.4231305,1100,100,0,0,0
151.1852094,-33.4232883,115,100,0,0,0
151.1959605,-33.4234452,1100,100,0,0,0
151.2067117,-33.4236011,1100,100,0,0,0
151.217463,-33.4237561,1100,100,0,0,0
151.2282143,-33.4239102,1100,100,0,0,0
151.2389658,-33.4240634,1100,100,0,0,0
151.2497173,-33.4242156,1100,100,0,0,0
151.2604689,-33.4243669,1100,100,0,0,0
151.2712206,-33.4245172,1100,100,0,0,0
151.2819723,-33.4246667,1100,100,0,0,0
151.2927242,-33.4248151,1100,100,0,0,0
151.3034761,-33.4249627,1100,100,0,0,0
151.3142281,-33.4251093,1100,100,0,0,0
151.3249802,-33.425255,180,100,0,0,0
151.3357323,-33.4253998,1100,100,0,0,0
151.3464845,-33.4255436,1100,100,0,0,0
151.3572368,-33.4256865,1100,100,0,0,0
150.3788782,-33.4178813,1100,100,0,0,0
150.3896227,-33.418108,1100,100,0,0,0
150.4003674,-33.4183337,1100,100,0,0,0
150.4111123,-33.4185586,1100,100,0,0,0
150.4218572,-33.4187825,1100,100,0,0,0
150.4326023,-33.4190055,1100,100,0,0,0
150.4433474,-33.4192276,1100,100,0,0,0
150.4540927,-33.4194487,1100,100,0,0,0
150.4648382,-33.4196689,1100,100,0,0,0
150.4755837,-33.4198882,1100,100,0,0,0
150.4863293,-33.4201065,1100,100,0,0,0
150.4970751,-33.4203239,1100,100,0,0,0
150.507821,-33.4205404,1100,100,0,0,0
150.518567,-33.420756,1100,100,0,0,0
150.5293131,-33.4209706,1100,100,0,0,0
150.5400593,-33.4211843,1100,100,0,0,0
150.5508056,-33.4213971,1100,100,0,0,0
150.5615521,-33.4216089,1100,100,0,0,0
150.5722986,-33.4218198,1100,100,0,0,0
150.5830453,-33.4220298,1100,100,0,0,0
150.5937921,-33.4222388,1100,100,0,0,0
150.604539,-33.422447,1100,100,0,0,0
150.615286,-33.4226541,1100,100,0,0,0
150.6260331,-33.4228604,1100,100,0,0,0
150.6367803,-33.4230657,1100,100,0,0,0
150.6475276,-33.4232701,1100,100,0,0,0
150.6582751,-33.4234736,1100,100,0,0,0
150.6690226,-33.4236761,1100,100,0,0,0
150.6797702,-33.4238777,1100,100,0,0,0
150.690518,-33.4240784,1100,100,0,0,0
150.7012659,-33.4242782,1100,100,0,0,0
150.7120138,-33.424477,270,100,0,0,0
150.7227619,-33.4246749,115,100,0,0,0
150.7335101,-33.4248718,270,100,0,0,0
150.7442584,-33.4250678,1100,100,0,0,0
150.7550068,-33.4252629,1100,100,0,0,0
150.7657553,-33.4254571,1100,100,0,0,0
150.7765039,-33.4256503,1100,100,0,0,0
150.7872525,-33.4258426,270,100,0,0,0
150.7980013,-33.426034,1100,100,0,0,0
150.8087502,-33.4262245,1100,100,0,0,0
150.8194992,-33.426414,1100,100,0,0,0
150.8302483,-33.4266025,270,100,0,0,0
150.8409975,-33.4267902,1100,100,0,0,0
150.8517468,-33.4269769,1100,100,0,0,0
150.8624962,-33.4271627,270,100,0,0,0
150.8732457,-33.4273476,1100,100,0,0,0
150.8839953,-33.4275315,1100,100,0,0,0
150.894745,-33.4277145,270,100,0,0,0
150.9054948,-33.4278966,1100,100,0,0,0
150.9162447,-33.4280777,1100,100,0,0,0
150.9269947,-33.4282579,1100,100,0,0,0
150.9377448,-33.4284372,1100,100,0,0,0
150.9484949,-33.4286155,270,100,0,0,0
150.9592452,-33.4287929,270,100,0,0,0
150.9699956,-33.4289694,1100,100,0,0,0
150.980746,-33.429145,1100,100,0,0,0
150.9914966,-33.4293196,1100,100,0,0,0
151.0022472,-33.4294933,1100,100,0,0,0
151.0129979,-33.429666,1100,100,0,0,0
151.0237488,-33.4298379,1100,100,0,0,0
151.0344997,-33.4300088,270,100,0,0,0
151.0452507,-33.4301787,270,100,0,0,0
151.0560018,-33.4303478,1100,100,0,0,0
151.066753,-33.4305159,1100,100,0,0,0
151.0775042,-33.430683,1100,100,0,0,0
151.0882556,-33.4308493,270,100,0,0,0
151.099007,-33.4310146,1100,100,0,0,0
151.1097586,-33.431179,1100,100,0,0,0
151.1205102,-33.4313424,1100,100,0,0,0
151.1312619,-33.4315049,1100,100,0,0,0
151.1420137,-33.4316665,1100,100,0,0,0
151.1527656,-33.4318272,1100,100,0,0,0
151.1635175,-33.4319869,1100,100,0,0,0
151.1742696,-33.4321457,1100,100,0,0,0
151.1850217,-33.4323035,1100,100,0,0,0
151.195774,-33.4324605,1100,100,0,0,0
151.2065263,-33.4326165,1100,100,0,0,0
151.2172786,-33.4327715,1100,100,0,0,0
151.2280311,-33.4329257,1100,100,0,0,0
151.2387837,-33.4330789,1100,100,0,0,0
151.2495363,-33.4332311,1100,100,0,0,0
151.260289,-33.4333825,1100,100,0,0,0
151.2710418,-33.4335329,1100,100,0,0,0
151.2817946,-33.4336823,1100,100,0,0,0
151.2925476,-33.4338309,1100,100,0,0,0
151.3033006,-33.4339785,1100,100,0,0,0
151.3140537,-33.4341252,1100,100,0,0,0
151.3463135,-33.4345596,1100,100,0,0,0
151.3570669,-33.4347026,1100,100,0,0,0
150.3786072,-33.4268916,1100,100,0,0,0
150.3893529,-33.4271183,1100,100,0,0,0
150.4000987,-33.4273442,1100,100,0,0,0
150.4108446,-33.4275691,1100,100,0,0,0
150.4215907,-33.4277931,1100,100,0,0,0
150.4323369,-33.4280162,1100,100,0,0,0
150.4430831,-33.4282383,1100,100,0,0,0
