id,lon,lat,taxonomy,number,structural,day,night,suburb,lzcode,lzpurpose
2503,151.1930339,-33.9295004,URML_P,15,2.40E+07,0,37.5,Mascot,R2,N/A
2504,151.1886891,-33.9303382,URML_P,15,2.40E+07,0,37.5,Mascot,R2,N/A
2505,151.190852,-33.9303701,URML_P,15,2.40E+07,0,37.5,Mascot,R2,N/A
2506,151.1919334,-33.9303859,URML_P,15,2.40E+07,0,37.5,Mascot,R2,N/A
2507,151.1940202,-33.9340235,URML_P,5.7,9120000,285,0,Mascot,B4,N/A
2508,151.1887655,-33.9267324,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2509,151.187665,-33.927618,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2510,151.1887464,-33.9276339,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2511,151.1898278,-33.9276498,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2512,151.1876459,-33.9285194,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2513,151.1887273,-33.9285353,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2514,151.1898087,-33.9285513,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2515,151.1876268,-33.9294209,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2516,151.1876077,-33.9303223,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2517,151.1875886,-33.9312238,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2518,151.18867,-33.9312397,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2519,151.1897515,-33.9312556,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2520,151.1908329,-33.9312715,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2521,151.1875695,-33.9321252,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2522,151.1886509,-33.9321411,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2523,151.1897324,-33.9321571,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2524,151.1908139,-33.932173,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2525,151.1918953,-33.9321888,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2526,151.1918763,-33.9330903,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2527,151.1929577,-33.9331062,C1H_H,5.4,1.91E+08,270,0,Mascot,B5,N/A
2528,151.1993897,-33.9359056,UNAFFECTED,0,0,0,0,Mascot,RE1,N/A
2529,151.2004712,-33.9359214,UNAFFECTED,0,0,0,0,Mascot,RE1,N/A
2530,151.1929768,-33.9322047,URML_P,15,2.40E+07,0,37.5,Mascot,R2,N/A
2531,151.1942676,-33.9223046,URML_P,15.6,24960000,0,39,Mascot,R3,N/A
2532,151.1953489,-33.9223205,URML_P,15.6,24960000,0,39,Mascot,R3,N/A
2533,151.1791481,-33.9211802,C1L_H,5.8,0,290,0,Mascot,B7,N/A
2534,151.1802294,-33.9211962,C1L_H,5.8,0,290,0,Mascot,B7,N/A
2535,151.1813107,-33.9212122,C1L_H,5.8,0,290,0,Mascot,B7,N/A
2536,151.1791289,-33.9220816,C1L_H,5.8,0,290,0,Mascot,B7,N/A
2537,151.1802102,-33.9220976,C1L_H,5.8,0,290,0,Mascot,B7,N/A
2538,151.1812916,-33.9221136,C1L_H,5.8,0,290,0,Mascot,B7,N/A
2539,151.1823729,-33.9221296,C1L_H,5.8,0,290,0,Mascot,B7,N/A
2540,151.1834542,-33.9221455,C1L_H,5.8,0,290,0,Mascot,B7,N/A
2541,151.1791097,-33.9229831,C1L_H,5.8,0,290,0,Mascot,B7,N/A
2542,151.1801911,-33.9229991,C1L_H,5.8,0,290,0,Mascot,B7,N/A
2543,151.1812724,-33.923015,C1L_H,5.8,0,290,0,Mascot,B7,N/A
